game_id,name,price,top_prize,overall_odds,status,play_begin
2070,Power Shot Multiplier,20,500000,3.07,PUBLISHED,2025-11-04
2069,Winter Fun,5,100000,3.95,PUBLISHED,2025-10-28
2068,Polar Wonderland,10,250000,3.45,PUBLISHED,2025-10-21
2067,Lucky 7s Multiplier,30,1000000,2.89,PUBLISHED,2025-10-14
2066,Diamond Mine,20,500000,3.12,PUBLISHED,2025-10-07
2065,Cash Explosion,10,200000,3.67,PUBLISHED,2025-09-30
2064,Triple Fortune,5,75000,4.01,PUBLISHED,2025-09-23
2063,Money Multiplier,20,500000,3.15,PUBLISHED,2025-09-16
2062,Bingo Times 10,10,150000,3.78,PUBLISHED,2025-09-09
2061,Crossword Cash,5,50000,4.12,PUBLISHED,2025-09-02
2060,Wild Time,30,2000000,2.75,PUBLISHED,2025-08-26
2059,Super Bonus Bucks,10,250000,3.52,PUBLISHED,2025-08-19
2058,Platinum Millions,30,3000000,2.68,PUBLISHED,2025-08-12
2057,Gold Rush,20,777777,3.08,PUBLISHED,2025-08-05
2056,Cash Vault,10,200000,3.69,PUBLISHED,2025-07-29
2055,Lucky Lines,5,100000,3.98,PUBLISHED,2025-07-22
2054,Mega Multiplier,30,1500000,2.81,PUBLISHED,2025-07-15
2053,Super Sevens,20,500000,3.17,PUBLISHED,2025-07-08
2052,Bonus Match,10,150000,3.73,PUBLISHED,2025-07-01
2051,Win It All,5,75000,4.05,PUBLISHED,2025-06-24
2050,Royal Riches,30,2000000,2.78,PUBLISHED,2025-06-17
2049,Extreme Green,20,500000,3.11,PUBLISHED,2025-06-10
2048,Cash Bonanza,10,250000,3.56,PUBLISHED,2025-06-03
2047,Lucky Duck,5,50000,4.15,PUBLISHED,2025-05-27
2046,Jackpot Party,30,1000000,2.92,PUBLISHED,2025-05-20
2045,Money Bags,20,500000,3.14,PUBLISHED,2025-05-13
2044,Bingo Bonus,10,200000,3.71,PUBLISHED,2025-05-06
2043,Triple Play,5,100000,3.96,PUBLISHED,2025-04-29
2042,Diamond Dazzler,30,3000000,2.65,PUBLISHED,2025-04-22
2041,Cash Blast,20,500000,3.19,PUBLISHED,2025-04-15
2040,Prize Vault,10,150000,3.75,PUBLISHED,2025-04-08
2039,Lucky Charm,5,75000,4.08,PUBLISHED,2025-04-01
2038,Millionaire Maker,30,2000000,2.72,PUBLISHED,2025-03-25
2037,Hot Numbers,20,500000,3.13,PUBLISHED,2025-03-18
2036,Bonus Blast,10,250000,3.58,PUBLISHED,2025-03-11
2035,Quick Cash,5,50000,4.18,PUBLISHED,2025-03-04
2034,Super Jackpot,30,1500000,2.85,PUBLISHED,2025-02-25
2033,Win Big,20,500000,3.16,PUBLISHED,2025-02-18
2032,Cash King,10,200000,3.72,PUBLISHED,2025-02-11
2031,Lucky Spin,5,100000,3.99,PUBLISHED,2025-02-04
2030,Mega Money,30,1000000,2.95,PUBLISHED,2025-01-28
